305673788	0.102
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
338119154	0.111
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
388997955	0.128
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
356879394	0.173
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
438608104	0.18
NA	NA
NA	NA
NA	NA
474865000	0.188
486626000	0.19
498747000	0.192
511206000	0.193
523980000	0.195
537047000	0.197
547949809	0.199
563530000	0.201
575887000	0.204
588299000	0.206
600763000	0.208
613273000	0.21
625818000	0.212
638388000	0.215
650982000	0.217
663596000	0.219
658184692	0.233
NA	NA
NA	NA
NA	NA
750859000	0.25
766135000	0.254
781374000	0.258
796596000	0.263
811817000	0.267
827060000	0.272
844324222	0.257
869845000	0.26
887603000	0.262
905508000	0.264
923541000	0.266
941681000	0.268
959908000	0.27
978199000	0.272
996531000	0.274
1014877000	0.276
1028610328	0.278
1051258250	0.281
1068065117	0.283
1084756558	0.285
1101317709	0.288
1117733826	0.29
1134023232	0.292
1150196000	0.294
NA	NA
NA	NA
1210854977	0.311
